center_to_line,line_in_sphere,line_in_cube
0.419564,0.543935,0.6433
0.159049,0.948058,1.17342
0.41253,0.565045,1.30943
0.713467,0,0.320387
0.430828,0.507492,0.71833
0.382801,0.643315,1.05437
0.411301,0.568616,0.627171
0.304089,0.793801,1.30198
0.573713,0,0.295404
0.129653,0.965795,1.29319
0.460636,0.38892,1.0388
0.199026,0.917363,1.23455
0.458715,0.397895,0.855012
0.332928,0.746081,1.0482
0.499806,0.0278721,0.862945
0.501878,0,0.76395
0.512235,0,0.393961
0.227393,0.890601,1.27312
0.215964,0.901908,1.1922
0.148166,0.955085,1.10367
0.365029,0.683386,1.012
0.216944,0.900967,1.27628
0.312511,0.780606,1.02857
0.400758,0.597974,1.17062
0.296582,0.805082,1.08289
0.131594,0.964745,1.14249
0.341838,0.729786,1.15235
0.146768,0.955948,1.27373
0.558061,0,0.709525
0.484507,0.247009,0.718681
0.38847,0.629575,0.967782
0.211616,0.906022,1.09343
0.213404,0.904342,1.2002
0.412646,0.564705,0.667034
0.526001,0,0.991014
0.339809,0.733566,1.07734
0.609811,0,0.530039
0.350893,0.712387,1.17102
0.30795,0.787824,1.29318
0.137112,0.961666,1.2685
0.433728,0.497513,1.16205
0.427578,0.518372,0.811319
0.418325,0.547737,1.14353
0.519854,0,0.573323
0.448797,0.440822,0.709034
0.120422,0.970564,1.31547
0.126811,0.967303,1.28128
0.627938,0,0.764149
0.609776,0,0.34324
0.13779,0.961278,1.33086
0.609815,0,0.314225
0.521996,0,0.505013
0.515616,0,0.96243
0.231216,0.886655,1.27127
0.524719,0,0.566092
0.270193,0.841417,1.05438
0.658678,0,0.427635
0.345965,0.721964,1.0866
0.305076,0.792285,1.25373
0.317739,0.772119,1.19848
0.139084,0.960532,1.01463
0.502692,0,0.755054
0.243273,0.873655,1.26155
0.183044,0.93058,1.0835
0.321113,0.766516,1.07231
0.369734,0.673193,1.26402
0.416688,0.552707,1.11849
0.506031,0,1.0433
0.136589,0.961963,1.18411
0.360894,0.692115,0.752038
0.468603,0.348776,0.808658
0.158239,0.9486,1.15122
0.297297,0.804027,1.03681
0.531134,0,0.565876
0.207646,0.909688,1.21567
0.257249,0.857491,1.06873
0.205785,0.911379,1.00019
0.0478432,0.995412,1.00414
0.379705,0.650613,0.917339
0.162804,0.945505,1.32577
0.422059,0.536157,0.833476
0.214421,0.903379,1.26182
0.621963,0,0.470281
0.489295,0.205819,0.563108
0.190549,0.924535,1.20815
0.111269,0.974924,1.20616
0.519486,0,0.925549
0.296195,0.805651,1.0747
0.253186,0.862315,1.15019
0.357746,0.69862,1.00353
0.50889,0,0.71558
0.537455,0,0.611726
0.377909,0.654782,1.0859
0.0882402,0.984304,1.30028
0.398011,0.605268,1.05914
0.462494,0.379998,0.518451
0.498295,0.0825033,0.575947
0.462816,0.378423,1.04972
0.370301,0.671943,1.11522
0.55301,0,0.795692
0.356444,0.701277,1.06628
0.304013,0.793917,1.27587
0.341692,0.730059,1.19744
0.400856,0.597709,0.914793
0.470013,0.341101,0.484035
0.265619,0.847222,1.16765
0.135433,0.962617,1.13738
0.343198,0.727228,0.944555
0.439851,0.475524,0.988834
0.421746,0.537141,1.14874
0.478632,0.289216,0.800403
0.122576,0.969485,1.27641
0.308913,0.786314,1.02631
0.534077,0,1.04665
0.474939,0.312621,0.835668
0.217252,0.90067,1.03482
0.287429,0.818253,1.10453
0.525648,0,0.911211
0.506514,0,0.422439
0.429497,0.511986,0.695107
0.411775,0.567243,0.80219
0.177444,0.934909,1.09829
0.199649,0.916821,1.04338
0.456318,0.408774,0.781108
0.102206,0.978885,1.25244
0.180925,0.932236,1.30891
0.299789,0.800317,1.1805
0.430445,0.508793,1.07928
0.0325811,0.997875,1.08245
0.246525,0.870001,1.06726
0.353839,0.706535,1.10992
0.188006,0.926614,1.42721
0.696115,0,0.0476146
0.195124,0.92071,1.37698
0.426827,0.52084,1.06526
0.43013,0.509856,0.997163
0.277804,0.831445,1.1221
0.589673,0,0.239032
0.264453,0.848681,1.15893
0.302081,0.796862,1.08683
0.31225,0.781025,1.00118
0.182186,0.931254,1.12463
0.24563,0.871013,1.29172
0.22618,0.891836,1.31666
0.204107,0.912886,1.15847
0.395497,0.611824,0.92149
0.186154,0.928109,1.01785
0.30894,0.786273,1.30296
0.332065,0.747617,1.02074
0.31579,0.775311,1.01526
0.165508,0.943625,1.11081
0.193584,0.922009,1.33973
0.0673461,0.990887,1.16935
0.578789,0,0.42889
0.151326,0.953101,1.3687
0.0588352,0.993053,1.14915
0.37637,0.658319,1.00009
0.279545,0.829106,1.08311
0.216703,0.901199,1.26184
0.484504,0.247033,0.698198
0.511598,0,0.689469
0.236083,0.88151,1.00631
0.0560244,0.993703,1.25836
0.452214,0.426628,0.925616
0.474054,0.317947,1.01211
0.261721,0.852061,1.14551
0.514374,0,0.500576
0.419305,0.544732,1.07632
0.343,0.727602,1.08505
0.243573,0.87332,1.17303
0.294944,0.807485,0.918911
0.352585,0.709037,1.01749
0.444703,0.457118,0.947746
0.241919,0.875158,1.1283
0.184702,0.929269,1.31191
0.44515,0.455374,1.00584
0.509195,0,1.03299
0.148269,0.955021,1.36763
0.379617,0.650819,0.860299
0.387374,0.63227,1.14121
0.595047,0,0.780343
0.110774,0.975149,1.12321
0.363565,0.6865,1.04693
0.500303,0,0.884891
0.113438,0.973924,1.19518
0.259348,0.854958,1.03914
0.460921,0.387567,1.02739
0.175229,0.936579,1.18139
0.528954,0,0.379774
0.152295,0.952484,1.01081
0.48933,0.205482,0.587457
0.295595,0.806532,1.18813
0.529228,0,0.537111
0.307133,0.789099,0.986747
0.63329,0,0.746144
0.293252,0.809946,0.993723
0.376361,0.65834,0.907687
0.432578,0.501503,0.790012
0.54792,0,0.775724
0.349649,0.71483,1.05368
0.398559,0.603824,0.862872
0.379275,0.651615,1.1161
0.181115,0.932089,1.35946
0.536548,0,0.400972
0.430759,0.507727,1.24472
0.473428,0.321655,0.844266
0.433377,0.498734,1.01741
0.357479,0.699167,0.9916
0.212629,0.905072,1.04752
0.244663,0.872101,1.09366
0.189537,0.925366,1.18938
0.117443,0.972023,1.36207
0.580949,0,0.470096
0.432698,0.501089,0.663017
0.391796,0.621276,1.01557
0.128748,0.96628,1.13754
0.445851,0.452622,1.08463
0.233301,0.884468,1.26274
0.46061,0.389044,0.9703
0.540674,0,0.73993
0.62013,0,0.537573
0.389345,0.627409,1.07127
0.23377,0.883972,1.12571
0.443669,0.461119,0.909214
0.455511,0.412359,0.642959
0.366606,0.679999,0.95082
0.285384,0.821111,1.16709
0.320716,0.76718,1.10541
0.283366,0.823902,1.15252
0.526282,0,0.914812
0.368655,0.675555,1.35954
0.30709,0.789167,1.10405
0.506873,0,0.717677
0.615861,0,0.159855
0.29722,0.804139,1.19253
0.40889,0.575531,1.23899
0.298895,0.801653,1.13609
0.368547,0.67579,0.951704
0.102803,0.978635,1.2197
0.478464,0.290325,0.737356
0.46634,0.360704,0.884915
0.611265,0,0.829036
0.551285,0,0.628076
0.369005,0.67479,1.29648
0.31988,0.768575,1.06644
0.145904,0.956477,1.39588
0.174715,0.936963,1.03081
0.244998,0.871725,1.22061
0.323512,0.76247,1.07759
0.36961,0.673465,1.06864
0.388049,0.630612,0.966416
0.509626,0,0.559798
0.389988,0.62581,1.32867
0.106485,0.977059,1.005
0.306594,0.789937,0.963539
0.299866,0.800201,1.16832
0.51085,0,0.943407
0.333208,0.74558,1.05421
0.151742,0.952837,1.20458
0.202074,0.914694,1.40547
0.239589,0.877718,1.11453
0.508559,0,0.734307
0.20281,0.914042,1.07584
0.419532,0.544033,0.607544
0.255921,0.859079,1.14022
0.608743,0,0.292873
0.348349,0.717365,1.24435
0.442007,0.467461,0.866781
0.507858,0,0.641989
0.473064,0.323793,0.94101
0.58603,0,0.755953
0.171707,0.939184,1.17467
0.503999,0,0.700067
0.333767,0.74458,1.20868
0.137712,0.961323,1.01332
0.435597,0.490939,1.08434
0.61634,0,0.435161
0.460446,0.389817,0.837996
0.53231,0,0.442202
0.247647,0.868725,1.09768
0.652984,0,0.755996
0.189849,0.925111,1.01696
0.123708,0.968909,1.46687
0.474738,0.313838,0.817964
0.260594,0.853442,1.14731
0.256074,0.858897,1.18906
0.52501,0,0.860236
0.599383,0,0.831118
0.265066,0.847915,1.26161
0.389512,0.626993,1.15234
0.149464,0.954276,1.16672
0.377745,0.655159,0.808681
0.4635,0.375063,1.25615
0.282919,0.824517,1.22676
0.258781,0.855645,1.36755
0.156366,0.949842,1.40557
0.271487,0.839749,1.00845
0.575345,0,0.630132
0.169444,0.940827,1.3843
0.294127,0.808677,1.19244
0.143757,0.957777,1.04484
0.333976,0.744205,1.13577
0.514374,0,0.454624
0.282987,0.824423,1.03327
0.411174,0.568984,0.606966
0.477654,0.295611,0.982332
0.238913,0.878454,0.964089
0.233525,0.884231,1.28419
0.278886,0.829994,1.08835
0.27141,0.839849,1.18435
0.600898,0,0.656731
0.342381,0.728767,1.13735
0.476366,0.303814,0.888606
0.0406426,0.996691,1.25134
0.344171,0.725386,1.10925
0.437324,0.484759,1.03069
0.340803,0.731719,1.17107
0.425497,0.525174,1.12759
0.342892,0.727805,1.00776
0.17509,0.936683,1.29011
0.0634056,0.991927,1.15845
0.119933,0.970806,1.01759
0.471595,0.332255,0.884443
0.59274,0,0.539444
0.391878,0.621069,1.16676
0.415591,0.556002,1.18062
0.216679,0.901222,1.08106
0.476603,0.302322,0.84299
0.494417,0.149015,1.11503
0.361392,0.691074,1.23735
0.194111,0.921566,1.28486
0.534244,0,0.553919
0.0656736,0.991336,1.2522
0.264661,0.848421,1.23438
0.463796,0.373593,1.01095
0.475684,0.308056,1.02275
0.156506,0.949749,1.40616
0.501672,0,0.718628
0.17467,0.936996,1.29387
0.338466,0.736045,1.11126
0.526024,0,0.986347
0.236823,0.880716,1.25284
0.18596,0.928265,1.01572
0.484933,0.243638,0.559572
0.214032,0.903748,1.18409
0.0162061,0.999475,1.23244
0.158925,0.948141,1.29762
0.0303831,0.998152,1.29041
0.428814,0.514271,1.19376
0.242105,0.874952,1.13621
0.0913768,0.983159,1.16614
0.408488,0.576671,0.943907
0.402678,0.592793,1.13263
0.489801,0.200946,1.02172
0.501732,0,0.533506
0.176327,0.935754,1.03826
0.56198,0,0.641953
0.351774,0.710648,1.10041
0.297763,0.803335,1.04149
0.226752,0.891254,1.11238
0.489656,0.202359,0.726126
0.513198,0,0.609792
0.0483733,0.995309,1.39734
0.474332,0.316287,0.735177
0.186436,0.927883,1.32583
0.195714,0.920208,1.2289
0.262032,0.851679,1.25543
0.346465,0.721004,0.877881
0.36442,0.684684,1.11542
0.288895,0.816186,1.076
0.326562,0.75725,1.09069
0.194982,0.92083,1.14464
0.487103,0.225659,0.952909
0.490892,0.190001,1.00955
0.410402,0.57121,1.05446
0.286992,0.818867,1.11729
0.251549,0.86423,1.08507
0.245191,0.871507,1.0472
0.460362,0.390213,1.00816
0.173945,0.937535,1.06843
0.111016,0.97504,1.2255
0.465634,0.364334,0.684578
0.402894,0.592204,1.12541
0.598319,0,0.267373
0.253695,0.861717,1.17946
0.11069,0.975188,1.1715
0.518024,0,0.863403
0.34217,0.729164,1.18639
0.466499,0.359881,0.703806
0.404958,0.586547,1.21956
0.286687,0.819293,1.14997
0.281953,0.825839,1.15645
0.184598,0.929352,1.20902
0.146165,0.956317,1.13478
0.469373,0.34461,0.923538
0.504951,0,0.624889
0.394016,0.615636,0.77379
0.295925,0.806049,1.12333
0.285983,0.820278,1.22003
0.577996,0,0.541562
0.590727,0,0.559173
0.465661,0.364198,1.13907
0.435517,0.491223,0.896039
0.21063,0.90694,1.07538
0.299109,0.801333,1.04683
0.426072,0.523306,1.06949
0.206456,0.91077,1.36142
0.46764,0.353908,1.01507
0.251754,0.86399,1.16368
0.0877281,0.984487,1.32375
0.196179,0.919813,1.17713
0.320869,0.766924,0.969297
0.118088,0.97171,1.23761
0.310978,0.783052,1.024
0.586777,0,0.77315
0.339525,0.734092,0.920952
0.303007,0.795454,1.17672
0.448028,0.443942,0.853961
0.356915,0.700319,1.26817
0.414162,0.560248,0.972784
0.513214,0,0.486996
0.502445,0,1.20188
0.311129,0.782812,1.10035
0.396739,0.608598,1.03212
0.307942,0.787837,1.12984
0.30814,0.787526,1.03973
0.594834,0,0.492207
0.241788,0.875302,1.14033
0.133728,0.96357,1.33766
0.414104,0.56042,0.872457
0.11843,0.971544,1.32378
0.464138,0.371893,0.943091
0.32818,0.754448,0.932073
0.632391,0,0.44861
0.225214,0.892812,1.27096
0.338991,0.735079,1.0174
0.0916029,0.983075,1.4722
0.195891,0.920058,1.43937
0.259782,0.854432,1.05205
0.382958,0.642941,1.00961
0.564051,0,0.528226
0.429103,0.513304,0.645015
0.304834,0.792657,1.01333
0.470821,0.336618,0.959599
0.396462,0.609322,0.835995
0.605813,0,0.854527
0.45602,0.4101,1.07828
0.187603,0.926941,1.25951
0.550041,0,0.738698
0.460489,0.389615,1.01839
0.662459,0,0.272308
0.608556,0,0.437415
0.578817,0,0.430201
0.294033,0.808812,1.23199
0.417363,0.550666,0.72477
0.300315,0.799527,1.0415
0.257117,0.857649,1.20707
0.340889,0.731558,1.00783
0.542152,0,0.539789
0.147633,0.955415,1.11487
0.374653,0.662223,0.855365
0.280764,0.827458,1.12435
0.445671,0.45333,0.945081
0.202004,0.914756,1.33211
0.575206,0,0.727291
0.361937,0.689932,1.14724
0.508946,0,0.773374
0.573591,0,0.513491
0.194577,0.921172,1.26876
0.435615,0.490874,1.13167
0.29353,0.809543,1.09165
0.0624146,0.992178,1.26375
0.549682,0,0.849327
0.131327,0.96489,1.33286
0.256139,0.85882,1.02649
0.449738,0.436972,1.05798
0.232001,0.885835,1.02005
0.454642,0.416174,1.28648
0.448354,0.442622,0.801881
0.394614,0.614101,0.962911
0.365192,0.683038,1.06988
0.331479,0.748656,1.14334
0.13435,0.963224,1.12962
0.384423,0.639433,0.86316
0.0163544,0.999465,1.07158
0.344507,0.724749,1.02309
0.175741,0.936195,1.17306
0.512919,0,0.445248
0.266057,0.846672,1.151
0.0394966,0.996875,1.63459
0.132253,0.964384,1.18062
0.149998,0.953941,1.16145
0.210742,0.906836,1.19116
0.392796,0.618744,0.878898
0.5814,0,0.207952
0.395,0.613107,1.04029
0.294302,0.808422,1.12639
0.233982,0.883748,1.04373
0.551896,0,0.940585
0.492816,0.168904,1.10199
0.270247,0.841348,1.22351
0.512885,0,0.433537
0.159554,0.947719,1.12626
0.135111,0.962798,1.16234
0.231625,0.886227,0.98702
0.239797,0.87749,1.08601
0.456967,0.405864,1.28036
0.392974,0.618292,1.07962
0.533933,0,0.363328
0.562433,0,0.503506
0.109766,0.975605,1.18203
0.314637,0.777183,1.15909
0.644979,0,0.73908
0.386061,0.635475,1.09471
0.675728,0,0.402275
0.372448,0.667181,1.04089
0.414215,0.560092,1.01877
